"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Featured","Default","14","Yes","featured","","","","","","No","Products only","","No","","","No layout updates",""
"14-19 C7","Default","7","Yes","14-19-c7","<p>As with the release of the 6th generation Corvette, Zip will pave the way for C7 Corvette owners to enhance, personalize and protect their new Stingray. Get ready to bolt on a new <a title=""C7 Corvette Front Splitters and Side SKirts"" href=""http://www.zip-corvette.com/14-19-c7/exterior-accessories/corvette-front-splitters-side-skirts.html"">Front Splitter and Side Skirts</a>, or deck out your engine bay with <a title=""C7 Corvette Engine Covers"" href=""http://www.zip-corvette.com/14-19-c7/engine-dress-up/brands/american-car-craft.html"">Stainless Engine Covers</a> by American Car Craft. Still not enough ~ go all out with a new <a title=""C7 Corvette Edelbrock Superchargers"" href=""http://www.zip-corvette.com/14-19-c7/engine-performance/brands/edelbrock.html"">Edelbrock E-Force Supercharger</a> and really make heads turn. Regardless of which direction you decide, performance or visual, Zip has the right parts at the right price.</p>","c7-corvette-top-category_1.jpg","C7 Corvette Parts and Accessories","C7 Corvette Parts, C7 Corvette Accessories, Stingray, 2014, 2015, 2016, 2017, 2018, 2019","Buy 2014-2019 C7 Corvette Stingray parts and accessories from Zip Products. A leader in providing enthusiasts with quality parts and accessories for Corvette.","Yes","Products only_AND_Static block only","","Yes","","Best Value","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_category</instruction>
        <value>1</value>
    </action>
 <action method=""setData"">
        <instruction>show_brands</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
"Parts and Accessories","Default","15","Yes","parts-and-accessories","","","Parts and Accessories","","","No","Products only","","No","","","No layout updates",""
"Top Sellers","Default","16","Yes","top-sellers","","","","","","No","Products only","","Yes","","","No layout updates",""
"Disabled Categories","Default","24","No","disabled-categories","","","","","","No","Products only","","No","","","No layout updates",""
"Shop by Category","Default","26","Yes","category","","","Corvette Parts, Accessories & Apparel","","Buy Corvette Parts, Accessories & Apparel online at Zip Corvette. The #1 source for quality Corvette Parts and excellent customer service since 1977.","No","Products only","","Yes","","","No layout updates",""
"New Corvette Parts and Accessories","Default","12","Yes","new-parts-and-accessories","What started out as a small company selling brake lines and similar items has developed into a family owned business that stocks and/or sells over 30,000 items for Corvette. Over the years reproduction parts are manufactured, NOS parts are bought up, cores are rebuilt and the latest performance or accessories are developed; none go missing from our inventory. Browse through the newest Corvette Parts and Accessories recently added to our inventory. We are constantly stocking new items for C1, C2, C3, C4, C5, C6 and C7 Corvettes so if you don\'t see anything today be sure to check back tomorrow as this list will continue to change. Looking for a unique item that you can\'t seem to locate? <a href=""http://www.zip-corvette.com/contacts"">Contact our sales team today and let them help</a>.","","New Corvette Parts and Accessories","","Browse through the newest Corvette Parts and Accessories recently added to our inventory. We are constantly stocking new items for C1, C2, C3, C4, C5, C6 and C7 Corvettes so if you don\'t see anything today be sure to check back tomorrow as this list will continue to change.","No","Products only","","Yes","","","No layout updates",""
"Corvette GIfts","Default","28","Yes","corvette-gifts","<p>Looking for Corvette Gifts? Zip is your one-stop-shop for a Corvette Christmas, Fathers Day/Mothers Day, Birthday; or just because!</p>
<p>Zip has a wide inventory of Corvette gifts for fans of every generation - and every budget.</p>
<p>Shop: <a title=""Corvette Gifts Under $25"" href=""https://www.zip-corvette.com/gift-ideas/gifts-under-25.html"">Corvette Gifts Under $25</a>&nbsp;| <a title=""Corvette Gifts $25 - $50"" href=""https://www.zip-corvette.com/gift-ideas/gifts-over-25-under-50.html"">Corvette Gifts $25 - $50</a>&nbsp;| <a title=""Corvette Gifts Over $50"" href=""https://www.zip-corvette.com/gift-ideas/gifts-over-50.html"">Corvette Gifts Over $50</a></p>
<p>If you only need a little something, we\'ve got you covered with everything from <a title=""Corvette Mugs"" href=""https://www.zip-corvette.com/corvette-gifts/man-cave/mugs-cups.html"">Corvette Travel Mugs</a> to <a title=""Corvette Lapel Pins"" href=""https://www.zip-corvette.com/catalogsearch/result/?order=relevance&amp;dir=desc&amp;cat=All+Categories&amp;q=Lapel+Pins"">Lapel Pins</a>. If you\'re looking for a showstopper, we recommend you consider a new <a title=""Corvette Car Cover"" href=""https://www.zip-corvette.com/corvette-gifts/car-covers.html"">Corvette Car Cover</a> or Color Matched <a title=""Corvette License Plate Frame"" href=""https://www.zip-corvette.com/corvette-gifts/popular-corvette-bolt-ons/license-plate-frames.html"">License Plate Frame</a>.&nbsp;It\'s always a great time to splurge on <a title=""Corvette Sunglasses"" href=""https://www.zip-corvette.com/corvette-brands/corvette-eyewear.html"">Corvette Sunglasses</a> by Corvette Eyewear!</p>
<p>Looking to treat yourself? <a title=""Corvette Clocks"" href=""https://www.zip-corvette.com/corvette-gifts/man-cave/neon-clocks.html"">Corvette Clocks</a> are a unique addition to your garage or home office. While you\'re at it, consider a <a title=""Corvette Table and Chairs"" href=""https://www.zip-corvette.com/corvette-gifts/man-cave/stools-tables.html"">Corvette Table and/or Stools</a> to complete the look.</p>
<p>Whatever the occasion, give them what they really want - Corvette Stuff!</p>","","Corvette Gifts - Shirts, Hats, Gift Cards and more","","Our wide selection of Corvette Gifts includes everything a Corvette enthusiast would want including shirts, jackets, hats, bags and much more. If you aren\'t sure which gift to buy choose a Zip gift card instead.","No","Products only","","Yes","","","No layout updates",""
"Black Friday & Cyber Monday Deals","Default","21","No","blackfridaydeals","<p>Black Friday and Cyber Monday specials are not to be combined with the 10% discount included with ""Give Thanks"" offer but can be combined with flat rate shipping. <a title=""Sale Details"" href=""https://www.zip-corvette.com/givethanks.html"">Click here for details</a>.</p>","","Black Friday & Cyber Monday Deals","","","No","Products only_AND_Static block only","black_friday_category","Yes","","Name","No layout updates",""
"Cyber Monday Deals","Default","22","No","cybermondaydeals","<p>Cyber Monday specials are not to be combined with the 10% discount included with ""Give Thanks"" offer but can be combined with flat rate shipping. <a title=""Sale Details"" href=""http://www.zip-corvette.com/givethanks.html"">Click here for details</a>.</p>","","Cyber Monday Deals","","","No","Products only","","Yes","","Name","No layout updates","<reference name=""mana.catalog.leftnav"">
    <action method=""setData"">
        <instruction>hide_all_filters</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_year</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_brands</instruction>
        <value>1</value>
    </action>
<action method=""setData"">
        <instruction>show_price</instruction>
        <value>1</value>
    </action>
</reference> "
"Body and Fiberglass","eBay Listings","1","Yes","body-and-fiberglass","","","","","","No","Products only","","No","","","No layout updates",""
"Brakes","eBay Listings","2","Yes","brakes","","","","","","No","Products only","","No","","","No layout updates",""
"Cooling System","eBay Listings","3","Yes","cooling-system","","","","","","No","Products only","","No","","","No layout updates",""
"Electrical System","eBay Listings","4","Yes","electrical-system","","","","","","No","Products only","","No","","","No layout updates",""
"Engine","eBay Listings","5","Yes","engine","","","","","","No","Products only","","No","","","No layout updates",""
"Engine Dress-Up","eBay Listings","6","Yes","engine-dress-up","","","","","","No","Products only","","No","","","No layout updates",""
"Exhaust","eBay Listings","7","Yes","exhaust","","","","","","No","Products only","","No","","","No layout updates",""
"Exterior Accessories","eBay Listings","8","Yes","exterior-accessories","","","","","","No","Products only","","No","","","No layout updates",""
"Fuel System","eBay Listings","9","Yes","fuel-system","","","","","","No","Products only","","No","","","No layout updates",""
"Hardtop, Convertible, Roof Panel","eBay Listings","10","Yes","hardtop-convertible-roof-panel","","","","","","No","Products only","","No","","","No layout updates",""
"Heater & Air Condition","eBay Listings","12","Yes","heater-air-condition","","","","","","No","Products only","","No","","","No layout updates",""
"Headlights & Lamps","eBay Listings","11","Yes","headlights-lamps","","","","","","No","Products only","","No","","","No layout updates",""
"Interior","eBay Listings","13","Yes","interior","","","","","","No","Products only","","No","","","No layout updates",""
"Shifter & Transmission","eBay Listings","14","Yes","shifter-transmission","","","","","","No","Products only","","No","","","No layout updates",""
"Steering Systems","eBay Listings","15","Yes","steering-systems","","","","","","No","Products only","","No","","","No layout updates",""
"Suspension & Driveline","eBay Listings","16","Yes","suspension-driveline","","","","","","No","Products only","","No","","","No layout updates",""
"Weatherstrip","eBay Listings","17","Yes","weatherstrip","","","","","","No","Products only","","No","","","No layout updates",""
"Wheels & Tires","eBay Listings","18","Yes","wheels-tires","","","","","","No","Products only","","No","","","No layout updates",""
"Corvette Apparel","eBay Listings","19","Yes","corvette-apparel","","","","","","No","Products only","","No","","","No layout updates",""
"Personal Accessories","eBay Listings","20","Yes","personal-accessories","","","","","","No","Products only","","No","","","No layout updates",""
"Shop eBay","Default","26","Yes","shop-ebay","","","","","","No","Products only","","No","","","No layout updates",""
"Marketplace Items","Default","32","Yes","marketplace-items","","","","","","No","Products only","","No","","","No layout updates",""
"Hoops","Default","17","Yes","hoops","","","Hoops","","","No","Products only","","No","","","No layout updates",""
"C7 Items","Default","33","Yes","c7-items","","","","","","No","Products only","","Yes","","","No layout updates",""
"Mother\'s Day 2018","Default","34","Yes","mothers-day-2018","","","Mother\'s Day 2018 Sale at Zip Corvette","","","No","Products only","","Yes","","","No layout updates",""
"Body & Fiberglass","Default/53-62","1","Yes","body-fiberglass","<p>Restore your C1 Corvette to its original showroom floor condition with new fiberglass panels and body hardware from Zip Corvette. Original style press molded fiberglass panels will not only protect your investment but provide the fit and finish expected of Americaâ€™s premier sports car. Body-off restorations are easily accomplished when reproduction solid-axle Corvette parts are available. Count on Zip for body mount kits and reinforcements, original style door mechanism, trunk and deck lid hardware, correct hood hinges, supports and latches and wiper system components. Zip Corvette even has dated windshields, door glass and hardtop windows to complete your restoration. Count on Zip for all your 1953-1962 Corvette parts and restoration needs.</p>","body-fiberglass-category_4.jpg","C1 Corvette Body & Fiberglass Parts (1953-1962)","C1 Corvette Parts, C1 Corvette Restoration Parts, C1 Corvette Body Panels, C1 Corvette Fiberglass Panels, 1953-1962 Corvette Body & Fiberglass","Buy 1953-1962 Corvette Body & Fiberglass parts online at Zip. Restore your C1 Corvette with exact reproduction Body & Fiberglass Corvette Parts. ","Yes","Products only","","Yes","","","No layout updates",""
